date,company,source_label,arr_usd,arr_type,actual_period_revenue_usd,period_type,confidence,source_type,source_1
2022-12-31,OpenAI,2022 28M,28000000.0,,28000000.0,Year,Likely,Media report,https://www.theinformation.com/articles/openai-passes-1-billion-revenue-pace-as-big-companies-boost-ai-spending?rc=9mzoog
2023-03-01,OpenAI,March 2023 100Ms,200000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openais-losses-doubled-to-540-million-as-it-developed-chatgpt?rc=9mzoog
2023-08-29,OpenAI,Aug 2023 1B,1000000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openai-passes-1-billion-revenue-pace-as-big-companies-boost-ai-spending?rc=4ylmkj
2023-10-01,Anthropic,October 2023 100M,100000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openai-rival-anthropic-in-talks-to-raise-2-billion-from-google-others-as-ai-arms-race-accelerates?rc=4ylmkj
2023-10-10,OpenAI,1.3B Oct 2023,1300000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openais-revenue-crossed-1-3-billion-annualized-rate-ceo-tells-staff?rc=9mzoog
2023-12-30,OpenAI,1.6B Dec 2023,1600000000.0,Annualized run rate,,,Confident,Media report,https://www.theinformation.com/articles/openais-annualized-revenue-tops-1-6-billion-as-customers-shrug-off-ceo-drama?rc=9mzoog
2023-12-31,OpenAI,Dec 2023 2B,2000000000.0,Annualized run rate,,,Likely,Media report,https://www.ft.com/content/81ac0e78-5b9b-43c2-b135-d11c47480119
2024-01-01,Anthropic,2024 87M,87000000.0,Annualized run rate,,,Confident,Company disclosure,https://www.anthropic.com/news/anthropic-expands-global-leadership-in-enterprise-ai-naming-chris-ciauri-as-managing-director-of
2024-06-12,OpenAI,June 2024 3.4B,3400000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/openais-annualized-revenue-doubles-to-3-4-billion-since-late-2023?rc=9mzoog
2024-08-15,OpenAI,August 2024 3.6B,3600000000.0,Annualized run rate,,,Likely,Media report,https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html
2024-09-12,OpenAI,Sep 2024 4B,4000000000.0,Annual recurring revenue (ARR),,,Likely,Media report,https://www.wsj.com/tech/ai/united-arab-emirates-fund-in-talks-to-invest-in-openai-fd4e4977?
2024-12-31,Anthropic,December 2024 1B,1000000000.0,Annualized run rate,,,Likely,Media report,https://www.cnbc.com/2025/01/22/google-agrees-to-new-1-billion-investment-in-anthropic.html
2024-12-31,OpenAI,Dec 2024 5.5B,5500000000.0,Annual recurring revenue (ARR),,,Likely,Media report,https://www.cnbc.com/2025/06/09/openai-hits-10-billion-in-annualized-revenue-fueled-by-chatgpt-growth.html
2024-12-31,OpenAI,2024 3.7B,3700000000.0,,3700000000.0,Year,Likely,Media report,https://www.bloomberg.com/news/articles/2025-03-26/openai-expects-revenue-will-triple-to-12-7-billion-this-year
2025-03-01,Anthropic,March 2025 1.4B,1400000000.0,Annualized run rate,,,Likely,Media report,https://www.theinformation.com/articles/anthropics-claude-drives-strong-revenue-growth-while-powering-manus-sensation?rc=9mzoog
2025-03-31,Anthropic,March 2025 2B,2000000000.0,Annualized run rate,,,Confident,Company disclosure,https://www.cnbc.com/2025/05/16/anthropic-ai-credit-facility.html
2025-05-30,Anthropic,May 2025 3B,3000000000.0,Annualized run rate,,,Likely,Media report,https://www.cnbc.com/2025/05/30/anthropic-hits-3-billion-in-annualized-revenue-on-business-demand-for-ai.html
